"ResourceType","ResourcePrefix","ResourceCode"
"AKS cluster","aks-","Microsoft.ContainerService/managedClusters"
"API management service instance","apim-","Microsoft.ApiManagement/service"
"App Configuration store","appcs-","Microsoft.AppConfiguration/configurationStores"
"App Service environment","ase-","Microsoft.Web/sites"
"App Service plan","plan-","Microsoft.Web/serverFarms"
"Application gateway","agw-","Microsoft.Network/applicationGateways"
"Application Insights","appi-","Microsoft.Insights/components"
"Application security group ","asg-","Microsoft.Network/applicationSecurityGroups"
"Automation account","aa-","Microsoft.Automation/automationAccounts"
"Availability set","avail-","Microsoft.Compute/availabilitySets"
"Azure Analysis Services server","as","Microsoft.AnalysisServices/servers"
"Azure Arc enabled Kubernetes cluster","arck","Microsoft.Kubernetes/connectedClusters"
"Azure Arc enabled server","arcs-","Microsoft.HybridCompute/machines"
"Azure Cache for Redis instance","redis-","Microsoft.Cache/Redis"
"Azure Cognitive Search","srch-","Microsoft.Search/searchServices"
"Azure Cognitive Services","cog-","Microsoft.CognitiveServices/accounts"
"Azure Cosmos DB database","cosmos-","Microsoft.DocumentDB/databaseAccounts/sqlDatabases"
"Azure Data Explorer cluster","dec","Microsoft.Kusto/clusters"
"Azure Data Explorer cluster database","dedb","Microsoft.Kusto/clusters/databases"
"Azure Data Factory","adf-","Microsoft.DataFactory/factories"
"Azure Databricks workspace","dbw-","Microsoft.Databricks/workspaces"
"Azure Machine Learning workspace","mlw-","Microsoft.MachineLearningServices/workspaces"
"Azure Migrate project","migr-","Microsoft.Migrate/assessmentProjects"
"Azure Monitor action group","ag-","Microsoft.Insights/actionGroups"
"Azure Purview instance","pview-","Microsoft.Purview/accounts"
"Azure SQL Data Warehouse","sqldw-","Microsoft.Sql/servers"
"Azure SQL database","sqldb-","Microsoft.Sql/servers/databases"
"Azure SQL Database server","sql-","Microsoft.Sql/servers"
"Azure Static Web Apps","stap-","Microsoft.Web/sites"
"Azure StorSimple","ssimp","Microsoft.StorSimple/managers"
"Azure Stream Analytics","asa-","Microsoft.StreamAnalytics/cluster"
"Azure Synapse Analytics","syn-","Microsoft.Synapse/workspaces"
"Azure Synapse Analytics Spark Pool","synspark-","Microsoft.Synapse/workspaces/sqlPools"
"Azure Synapse Analytics SQL Dedicated Pool","syndw-","Microsoft.Synapse/workspaces/sqlPools"
"Azure Synapse Analytics Workspaces","syn-","Microsoft.Synapse/workspaces"
"Bastion","bas-","Microsoft.Network/bastionHosts"
"Blueprint","bp-","Microsoft.Blueprint/blueprints"
"Blueprint assignment","bpa-","Microsoft.Blueprint/blueprints/artifacts"
"CDN endpoint","cdne-","Microsoft.Cdn/profiles/endpoints"
"CDN profile","cdnp-","Microsoft.Cdn/profiles"
"Cloud service","cld-","Microsoft.Compute/cloudServices"
"Connections","con-","Microsoft.Network/connections"
"Container instance","ci","Microsoft.ContainerInstance/containerGroups"
"Container registry","cr","Microsoft.ContainerRegistry/registries"
"Data Lake Analytics account","dla","Microsoft.DataLakeAnalytics/accounts"
"Data Lake Store account","dls","Microsoft.DataLakeStore/accounts"
"Database Migration Service instance","dms-","Microsoft.DataMigration/services"
"Disk encryption set","des","Microsoft.Compute/diskEncryptionSets"
"DNS","dnsz-","Microsoft.Network/dnsZones"
"DNS zone","pdnsz-","Microsoft.Network/privateDnsZones"
"Event Grid domain","evgd-","Microsoft.EventGrid/domains"
"Event Grid topic","evgt-","Microsoft.EventGrid/domains/topics"
"Event hub","evh-","Microsoft.EventHub/namespaces/eventHubs"
"Event Hubs namespace","evhns-","Microsoft.EventHub/namespaces"
"ExpressRoute circuit","erc-","Microsoft.Network/expressRouteCircuits"
"Firewall","afw-","Microsoft.Network/azureFirewalls"
"Firewall policy","afwp-","Microsoft.Network/firewallPolicies"
"Front Door firewall policy","fdfp-","Microsoft.Network/frontdoorWebApplicationFirewallPolicies"
"Front Door instance","fd-","Microsoft.Network/frontDoors"
"Function app","func-","Microsoft.Web/sites"
"Gallery","gal","Microsoft.Compute/galleries"
"HDInsight ","hadoop-","Microsoft.HDInsight/clusters"
"HDInsight ","hbase-","Microsoft.HDInsight/clusters"
"HDInsight ","mls-","Microsoft.HDInsight/clusters"
"HDInsight ","storm-","Microsoft.HDInsight/clusters"
"HDInsight ","spark-","Microsoft.HDInsight/clusters"
